distance,consume,speed,temp_inside,temp_outside,price_per_liter,AC,rain,sun,gas_type,amount_per_consumption,amount_per_km,temp_spread
13.2,4.3,51,20,11,1.46,0,1,0,1,6.278,0.4756060606060606,9.0
13,5,45,20,11,1.46,0,1,0,1,7.3,0.5615384615384615,9.0
12.9,5.1,32,20,11,1.46,0,0,0,1,7.446,0.5772093023255813,9.0
13.9,5.6,22,20,8,1.46,0,0,0,1,8.176,0.5882014388489208,12.0
11.8,4.3,37,20,6,1.46,0,0,0,1,6.278,0.5320338983050846,14.0
12.2,5.8,60,20,11,1.46,0,0,0,1,8.468,0.6940983606557377,9.0
12.5,4,51,20,13,1.46,0,0,0,1,5.84,0.4672,7.0
11.8,5.9,21,20,9,1.46,1,1,0,1,8.614,0.73,11.0
12.5,4.2,57,20,11,1.46,0,0,0,1,6.132,0.49056,9.0
26.2,5.8,71,21,8,1.46,1,1,0,1,8.468,0.323206106870229,13.0
4.9,6.9,25,21,12,1.46,0,1,0,1,10.074,2.055918367346939,9.0
12.4,5.4,18,21,11,1.46,1,1,0,1,7.884,0.6358064516129033,10.0
22.9,5.3,45,20.5,7,1.46,0,0,0,1,7.7379999999999995,0.3379039301310044,13.5
162.7,5.5,75,23,1,1.46,0,0,0,1,8.03,0.049354640442532266,22.0
4.9,6.5,26,21,1,1.46,0,0,0,1,9.49,1.936734693877551,20.0
11.8,4.7,36,21,4,1.46,0,0,0,1,6.862,0.5815254237288136,17.0
16.6,5.1,56,21,7,1.46,0,0,0,1,7.446,0.4485542168674698,14.0
12.4,5.7,37,21,7,1.46,0,0,0,1,8.322,0.6711290322580644,14.0
15.9,5.4,25,21,7,1.46,0,0,0,1,7.884,0.4958490566037736,14.0
5.1,8.7,21,23.5,5,1.46,0,0,0,1,12.701999999999998,2.4905882352941173,18.5
22.4,4.9,66,20.5,7,1.46,0,0,0,1,7.154,0.319375,13.5
31.1,4.7,42,20.5,7,1.46,0,0,0,1,6.862,0.22064308681672026,13.5
4.9,6.3,27,20.5,3,1.46,0,0,0,1,9.198,1.877142857142857,17.5
11.8,5.1,26,23,4,1.46,0,1,0,1,7.446,0.6310169491525424,19.0
22.9,6,42,23,4,1.46,0,1,0,1,8.76,0.3825327510917031,19.0
12.4,4.6,38,23,1,1.46,0,1,0,1,6.715999999999999,0.5416129032258064,22.0
12.9,5.8,40,23,4,1.46,0,0,0,1,8.468,0.6564341085271318,19.0
11.8,5.1,43,23,0,1.46,0,0,0,1,7.446,0.6310169491525424,23.0
12.2,5.8,58,23,2,1.46,0,0,0,1,8.468,0.6940983606557377,21.0
24.8,4.6,55,23,3,1.46,0,0,0,1,6.715999999999999,0.2708064516129032,20.0
14.2,5.6,24,23,8,1.46,0,0,0,1,8.176,0.575774647887324,15.0
11.8,4.6,38,23,0,1.46,0,1,0,1,6.715999999999999,0.5691525423728813,23.0
12.2,6.3,57,23,0,1.46,0,1,0,1,9.198,0.7539344262295082,23.0
24.7,5.5,56,25,1,1.46,0,0,0,1,8.03,0.32510121457489877,24.0
6.8,4.3,46,24,2,1.46,0,0,0,1,6.278,0.923235294117647,22.0
17.3,5.6,37,21.5,1,1.46,0,0,0,1,8.176,0.47260115606936415,20.5
11.8,4.3,44,21.5,-3,1.46,0,0,0,1,6.278,0.5320338983050846,24.5
15.9,5.7,46,21.5,5,1.46,0,0,0,1,8.322,0.5233962264150943,16.5
5.1,6.4,39,21.5,4,1.46,0,0,0,1,9.344,1.8321568627450981,17.5
